NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,439.9
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,453.17
b38a03232f43b11c9d0788abaf060f7366053b6d,569.59
715494628a50142ce8cb17191cfe6d0f3cae0934,541.81
e656d6bad65c93fb2880f1eba5037008c8e75774,469.55
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,533.56
11539e86171bf07d3a36f09377d7f54ebcc8406a,434.84
043c544a2104aa8a9849f1a703a08d37a2f16839,480.49
76ba050e64ad100b856f0eaabd8f539d5c7dd185,468.53
940aede382ccb332fab15d413217695ec44ca765,466.65
9ad714b116da76d878dd399d187fccc2dd13dd63,551.04
dd34464a4d780b12a089347ad580418ac57a3055,519.5
f837a4cb05a5fd59d20138182f5e8c721eadd584,487.73
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,400.5
3d203727f27abd83b71732d88d8cb1cc099f363b,435.6
cbc301183dec912f3513ca766bf03dd565f3a38f,503.39
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,617.34
11282da1ee78c8db45a041db4c744e33df489df0,447.84
03c67f683a415c2ea09b582248bd4cb08528c19d,574.76
046e844fb06a07ba30b41521f0065a8d9c6e5024,404.6
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,454.89
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,414.76
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,556.47
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,504.76
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,535.82
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,484.15
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,469.56
59bfa081e020013410d9f60f91813964ba749bb2,436.3
f5e069ee3bc95998464e8ff5da048b7f999921ed,440.48
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,594.62
664f44258212a1f7e4086f2b4845d586c543fa3f,488.57
265cd7befa74a9f2a198fc57baec9858075f8419,427.77
6f9ac44919bbd204e0ef15185388fd2d4bc61253,510.98
78de1ee60b55766cc3eba4089e36c57139b66ebd,463.01
1e61a474acdc043eb39a89c17fab34bd2ea1a940,442.4
940af68ded6af2875708611051aa7ff3f134d80b,511.29
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,485.59
c76ddf6e9f80984e901b12f9462a3cf029bea290,485.62
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,467.63
92823d467a2ced9529801e0e8a94802dd88f0c17,458.3
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,574.97
413cbb38b2e2522f8167ffb9daeac1347b281393,492.73
68985fad004092956a4b4ce94dd53dc76d07eaf7,493.63
bdca9aeb19521675af15f2c28d86f6bebc45a834,495.91
b65b19d42b7a4b644fe9f99366dcb37b120862d9,431.73
eda898aa8ec465cbac70de72ead0c6d688e5f95a,460.16
8d5c4481d736f6ce27976e400f4245bf10757608,436.33
c4cea54435c0fd0e171eed4c215479bb3ca86113,458.5
7d5cd89c6112b9a202a025a24355135bc60848c6,486.67
b70ab62384aa80545928a311f5b5d3db2f4d87ee,541.5
c96431dd924f366d2229a7f1455388b8cd85be49,578.79
dbaa6ee7502cbebb6f058fed5d2f960b19f451ac,429.39
e724482370ae6126008ade80b564ad8d8a0a7cbd,475.64
2ef4e2788e2f815f9a885c899f75d5dfeb234a02,582.43
e14241b5119dc1ff2c99b9c0c478aad23d9d9d05,502.45
7f898f8939ae054359f83ee154bb91bc7dd2c959,557.16
3c52d067408ec25a676b6fbf5b5c6d63c77cb6bf,470.43
82e3b12c6366008fabc238f299f117074e78de5d,409.72
0d838be0e718ceb786cdb10fcc12559e00440240,510.45
1b092b6c437359bb84f0d0f8d1286a1083d0e0d4,472.3
c83fe640ba466ba904ac1055e53a875289888797,450.48
8855ae8971b9bd9b02c45a82c6c894a2e76ca542,477.66
a2945f1e7fbadac669590b7d9fafb6c900bca3d0,396.13
328639a0c753715c30a58bae70c82f2101153eb3,440.69
643a0eb394b50694c74d5b5fc70b7f7f7c93f9c7,534.5
f56746cc2900258507d2b32c126f8db090db856f,457.8
1a4963b5fea8bb25c67750cdafbe84b01efad177,433.3
b520c940e62f4ed684417e7eacf00d85752060da,479.67
2e170cf2651ed448991af6fc5df15167733b2d8f,504.47
6efdd93a0ae289be6bb5a400bfc1deb077d75886,422.54
72ac2acc787d8cba0934cca3810ac091d792c8db,514.77
92a25eee14554806f081869cc9dac868fd1860fb,445.99
1f12a9b01eb9ef227a5482f498f3354bd485d9a3,419.22
acfcaf61fe2a8ec90ea2648c3125b7dc4dd13b74,463.01
7ec2f787b9f57044bd98c0d4854f521c9f9ec635,542.34
e8d2d318a1e057e9cac8384f1269a86c4b36e0a7,456.75
b45fb481022f31dd47c63c1c3e2ccc3b5915b67d,474.03
1a46d99716282410d1170f0f35069b34e34415d4,423.24
0467e022da4ef897f666bc76f31e1bc8976f7e92,500.9
993aca0d5eac6741117947c82a3647102096255e,475.1
94c96ade6ade21deb080bba6aad537fc4f195d47,493.81
36bb672077a46a3e4755cef90437a616d28bdf23,434.06
e406adf1d4712381dcd4d1c9d78fc9d7f14ff450,397.9
328ca19128d276eb4fbc309c54ec7f346c803d2f,679.67
27cdb62f0a2a5467efeb30aafbf246ed2320c532,388.49
f9ef2695eb0986666093945894b8f2fee351bf22,511.27
8a021391cdaac100dab56c59284bd50137a74129,540.55
b4ea8e8529711d52ed85b1a1f8ea0180bda442b8,513.42
720ef6c1d6cb4978762fb0edf4e55fd8303fe35a,479.19
b9f786712775e0d1d735398d710b01f404c985a3,419.65
564958997e204bda06fbe90afc4722805c78a855,563.97
36f38ea81d1305770cd5153f1e1667fe8a1eb47f,424.1
5a42c3f801e77d628649a6c34f3a4e5b80f232f7,485.32
8296743fdd105ce9183561cf5b359b0a3781465e,443.9
6602c7f15a1fdd082265b64976448c6809df792d,457.98
31ae66f0fe024acae4490915c348e487f2367574,526.29
81901aa980653106e64863d957387d24e2c00af3,420.92
28e10d1bd0b6effe0edd503446ebda948ad240ad,439.4
53a7ee52a87f80241e2ca13c923e06b72bf3a059,417.43
0e2c166db6aa7deccbe4896423a1d68f6d57b0f1,580.87
02681b5c893b94db204713cb4b20dde6fc3f2f95,537.66
6ce4c0e0784b3881b36b3d1c047ac6ad121681da,439.03
28c6829e69879bc1d34db1cd51b89562d3cc596b,519.2
ecb9f0d7a261c9f27865ea22f2e643701f721eb6,480.43
923538833160e8432636c88e8119378a43b3d766,464.6
aacb834258765a2959ee63c57d2be4923d11a696,459.38
c32e484025571dd94255a77f21de08ab8d2aaba8,475.84
d425deeec0a3c7006f14d732eff8933d5155067f,478.72
f7e7aa93db083d1f25b43cccf4ad2c03a7953cd3,486.76
716a178e9a6f7791b820da77879943ac9040a547,459.05
430212cd8767ef2bff8cda0f61729203fef7523e,423.22
e97d33221238e445688a0e984778d4ecac788be2,518.53
4bc5712bdb9067b1814e969e71d5cdad59bb38d4,503.49
0411742cbb54fe1b6927b25f0bb52b885828c828,424.76
780505a9d5fc3c6da53686c0cc8bd871f4db00bc,407.57
e4e7a38b58319ad0a5cde4848622b21783c907e9,493.84
9c5a0a82074c75cb072752d71da42b9c6c27b0a3,558.81
aec1b63c3f0c9554e533752d8fe138ca82101d4a,442.92
4cc0fd1efaa148872a1f9edc1b44efef48c91c2b,496.73
4b48d500ba4410546ce01f7f6d44bcbafa73994f,425.59
edf33c347c866d26872f540bcc1f6ae415f3294c,478.6
54f4e6037b9d1eb4a2a134306d37176787f1c1d3,523.62
3a265ea6ebdc4eb2520db912adf5592f03b3d634,416.12
e418fbb77e6ff4103205f3b7f6a66d53183d809b,457.57
8ddbfe70cd41135cb6f125335a48d100789edbf7,404.42
1d3e406d0223d4cb0328850d689ba9fcadf62776,446.12
ecaf075653faf2dcdf946c0ce50629f5083347c0,417.08
7a2bba61a48894f9bd6fc981f77f2b627b0d8ae6,507.42
5b7877d12550dd35d27a02b66a13f2a27bce11ca,426.95
18f800ec03e33ebad5fb97aa8465dd3e5961337e,439.44
b05356be088f726b5ba7e0b0a9aa1b5cf4157b2a,480.01
cc8794762ffa592758b5117d67e0d02e2e8b9c49,516.55
894d277c608610fa8c31db531f64582b9569b2e9,437.48
b2e029961aa0f20071b74708e0d97e6f200ec582,457.9
12c7d85e168b09a0278df140a22bcb0052a59b0a,394.6
64c4892488a9c6281bdabf467a0b5a6382d248e6,472.45
ac112e94587e6e4249b7182329ee5a5040ae94ea,528.99
a58cf11e498228f9aaca92b0c49f955a6163fb59,443.37
e8c84701c041b7f3b39f3125a0449fa633589fbe,492.1
af8dd560d9ea4adcfd0d2b6b5f81f95fad9c3222,582.8
ac9cc7dbe0e70fb6717aa371a23aa75e6594ec02,438.48
e64ad901853230e396be49311ea98121c348fac6,489.12
8532af19be3729ea233c1f29e4c015820fc7fb3a,486.48
6de1d7f2ad49d20e5782f8cacf4f0b677ff2d316,468.39
26853fd075fe27954772c3070997635b94f32b83,436.73
3159f29994dadd5cba1f94c3f3b9ac69e24c1cc2,536.24
574ec310dee846f9ae8eb278480257d463f6fbcc,472.79
8a46e35787225c3e7adef2b998ad9c93a952106b,524.0
b62bf908b504e8c6898777a7f5b88afed358caea,416.89
10d22971ca4f53fc62d02905809ff1c37fbb68fc,586.43
0efd9ad5eb41ad08e1f1af9fbe59eb5845323860,435.19
8f2c4684ec70392c718c278b10b04ddfbd4ced1f,537.98
c03f2bcf9ef69bcfdf270b6ffc6110408f0ead41,465.32
d76614020539405f481c0f5ffb9e6f88a0bf21b7,434.12
92acabe95cd7dd1ae1dd63547cde3a4939cf7e2e,509.15
ddbf5769bc4a6fb2aa16e5a031d8eb7796d1c04c,476.17
176b027cd932b17fcb6f119cfcef338a175062b8,406.28
41474f2dda61d97f38ba79906d3dbcce223d1bd1,518.64
1c5a1514e6a5c44e5683ec01698a83ce474c2e4d,492.3
d4e97da32ccb6987ec074aa48c24ce949c05a78c,434.01
95c1d266a2524560761df98b376c17604733a6ad,527.87
c11c4303d2632cde64105a35554ecb77a8564260,480.24
30ddf113f77266181ef7bf57ea7d4ca3f505fec7,477.59
6d94e9582cfdb5d239f21b3ba08b619d81c5e8aa,526.65
3671441f51dc0c3d052e87d6b8beba46bb70bfeb,445.91
580c34923cbde328e0aef1641dd02033fc862c04,472.64
29d8bf198da9caa59047268faca60207da24d1b7,537.38
1b3f80a1cd9fff0408e96169fcaf006936b34fed,473.11
b5932043b62e0c58e16e2cc2c9d5489390e5c895,491.97
99092cc60948943c59d68d62ed81a75a03059113,477.53
dd69fca6f17420dc911016a79e70583ca7ea330d,429.9
d387995af060965fb9d18973f3dbf4904f071066,414.28
27dbf6c09f5e0f3756ad3e9ea156fbc330601a6a,484.3
543674772357cf9d8a7a8e7dfb89384af80ec30e,503.8
80a12b8a4c9df4ef4f78a33d41858b6f1ea24144,436.47
0736d379ea0962e316ce84cce8e883321be36abb,443.57
98cc842c547c69a0d27776e272fd8b61131b0b37,426.74
890b7696fa85ca2b3e90b3951efec2135e88d5cf,463.47
f3c4cd2f095979416fcac08d630fb1b1623ba5d6,633.82
d84b48f7dc7a6e387e6e985525143589754c5b13,428.46
71c9f09a9ed64f1cf7ba1bef4a614ad21e00afc9,508.53
dc4fe9d4124d9278f58f6f999711116a3fe58be7,491.95
f6624d763619c0898b34dc02adf06f53a1721cd0,421.38
60b1c12559860e7ad966da4c4db5c78e17278fc0,502.76
4f365503582b97ea96462d0d36895a5e7f5926df,432.4
c80869804effb21d50cc8fff3f4c27ba5521240c,402.52
d0f351638d60e84b890a498d69c9a7961cdcdf36,457.98
48e8ec135997ff3676648d5c144c3c7150a7bbb1,414.8
45484014aefd10ea3e4b08fb93e66c251709cca6,458.52
ccd8d735f7b3c980582f9086a6cae8b9ce8dea54,436.08
b2e2d1aa1a539b402da8b8fe52520fdf9ed7cdd9,413.3
25c9e3b023d4d32d0f15cb9041ea6b2bfbec6a63,564.28
0fb75ce5f51e8afaf504c75de131eb31f89faf4f,409.79
26e6e8cec21236dfc21cf98812a3d99a3f87d99b,557.91
c83c66733c5bd90a59996e473bb69e44f6522976,392.01
87f89c855f377c5b100ad2986cc6569e31d94a98,545.54
eaecf3dd32668664e1dcc2d6c7a69042824806a6,452.84
c59b370d3aa06b68878c836bceac844953d74972,471.61
b2128312e70fdb830091aecb6b27d82617e2e226,405.22
8257941af168c0cc15f28bd596fd922352dae732,412.23
854ce153823802674f35bbe1ec010b12e9b3a56f,441.04
27f1db4e266b154f6f7fbef9c225fab472652a7b,435.68
11b90bed4a05d11169f308370faf81d6e9ca2c4f,441.9
e001e1d73163c327a4d800697b1b36cd6921f60d,448.88
b83424ca8973e4b2eebf6eb9e26e842999432d22,409.1
912d751c54b46c860c5ba61666fc6fc59ca2689d,383.58
e114f7b197069bde8e158a0dbeaa022dd0c4e280,455.55
fa84edf183bd459ea9394d77bdc191683a75ff66,562.03
